sample_id,idtest_run,test_type,idtest_recipe,Test_Version,test_run_start_datetime,RunIndex,test_request_name,ElectricalTestTool,ElectricalTestChannel,is_discharge_only,ChargeCapacity,CapacityChargeFraction,dvdt,min_track_cycle_voltage,CycleIndex,CumulativeCycles,TestCycleStart_datetime,TestCycleStart_date,TestCycleStart_week,TestCycleEnd_datetime,TestCycleStart_datetime_first,TestCycleStart_week_first,TestCycleEnd_date,TestCycleEnd_week,track_cycle_count_cumulative,MiscTestAnomaly,ReliabilityCycles,CompletedCharge,CycleFailure,dvdt_failure,min_track_cycle_voltage_failure,CapacityChargeFraction_failure,AnyFailure,ChargeCapacity_failure,Experiment,Batch,WorkWeek,Group,ML Tier,center_normalized_0_5mm_eroded_rect_outside_median_us,Shorted,Condition
QSC022AD-PS00-06,189016269,E31,15895,R6_A1_TC_45C_8lap_V1,2/3/2025 4:54,189,NAR0160,SJ2-Maccor23,73,0,1277.5199,0.8589235,-7.961694,2.83116,5,345,2/3/2025 12:47,2/3/2025,Y2025-W06,2/3/2025 14:47,12/10/2024 20:49,Y2024-W50,2/3/2025,Y2025-W06,280,,280,,FALSE,0,0,0,TRUE,,QSC022,QSC022AD,Y2024-W50,QSC022,Tier 1,1.0294069051742554,FALSE,QSC Sister
QSC022AE-PS00-02,188697546,E31,15894,R6_A1_TC_45C_7lap_V3,12/24/2024 3:47,32,NAR0104,SJ2-Maccor23,5,0,1369.2712,0.91999894,,,2,46,12/24/2024 5:39,12/24/2024,Y2024-W52,12/24/2024 6:30,12/12/2024 19:28,Y2024-W50,12/24/2024,Y2024-W52,36,,37,,TRUE,0,0,1,TRUE,,QSC022,QSC022AE,Y2024-W50,QSC022,Tier 1,1.0218578577041626,TRUE,QSC Sister
QSC022AG-PS00-02,188725832,E31,15894,R6_A1_TC_45C_7lap_V3,12/31/2024 4:50,73,KAL0615,SJ2-Maccor23,33,0,1368.9558,0.91999716,,,1,119,12/31/2024 4:50,12/31/2024,Y2025-W01,12/31/2024 6:06,12/14/2024 19:40,Y2024-W50,12/31/2024,Y2025-W01,95,,96,,TRUE,0,0,1,TRUE,,QSC022,QSC022AG,Y2024-W50,QSC022,Tier 1,1.0448771715164185,TRUE,QSC Sister
QSC022AH-PS00-04,188816769,E31,15895,R6_A1_TC_45C_8lap_V1,1/13/2025 11:24,110,NAR0128,SJ2-Maccor23,49,0,1370.3204,0.9199992,,,1,186,1/13/2025 11:24,1/13/2025,Y2025-W03,1/13/2025 12:11,12/18/2024 14:16,Y2024-W51,1/13/2025,Y2025-W03,149,,150,,TRUE,0,0,1,TRUE,,QSC022,QSC022AH,Y2024-W51,QSC022,Tier 1,1.0240156650543213,TRUE,QSC Sister
QSC022AH-PS00-05,188698586,E31,15895,R6_A1_TC_45C_8lap_V1,12/25/2024 19:21,41,NAR0107,SJ2-Maccor23,61,0,1369.134,0.9199995,,,4,65,12/26/2024 1:13,12/26/2024,Y2024-W52,12/26/2024 2:01,12/18/2024 14:17,Y2024-W51,12/26/2024,Y2024-W52,53,,54,,TRUE,0,0,1,TRUE,,QSC022,QSC022AH,Y2024-W51,QSC022,Tier 1,1.0237305164337158,TRUE,QSC Sister
QSC022AH-PS00-06,188844699,E31,15895,R6_A1_TC_45C_8lap_V1,1/16/2025 13:30,128,NAR0128,SJ2-Maccor23,53,0,1367.5731,0.91999537,,,5,226,1/16/2025 21:21,1/16/2025,Y2025-W03,1/16/2025 22:12,12/18/2024 14:19,Y2024-W51,1/16/2025,Y2025-W03,183,,184,,TRUE,0,0,1,TRUE,,QSC022,QSC022AH,Y2024-W51,QSC022,Tier 1,1.0254098176956177,TRUE,QSC Sister
QSC1,189016269,E31,15895,R6_A1_TC_45C_8lap_V1,2/3/2025 4:54,189,NAR0160,SJ2-Maccor23,73,0,1277.5199,0.8589235,-7.961694,2.83116,5,345,2/3/2025 12:47,2/3/2025,Y2025-W06,2/3/2025 14:47,12/10/2024 20:49,Y2024-W50,2/3/2025,Y2025-W06,30,,30,,TRUE,0,0,0,TRUE,,QSC022,QSC022AD,Y2024-W50,QSC022,Tier 1,1.0294069051742554,TRUE,PowerCo
QSC2,188697546,E31,15894,R6_A1_TC_45C_7lap_V3,12/24/2024 3:47,32,NAR0104,SJ2-Maccor23,5,0,1369.2712,0.91999894,,,2,46,12/24/2024 5:39,12/24/2024,Y2024-W52,12/24/2024 6:30,12/12/2024 19:28,Y2024-W50,12/24/2024,Y2024-W52,28,,28,,TRUE,0,0,1,TRUE,,QSC022,QSC022AE,Y2024-W50,QSC022,Tier 1,1.0218578577041626,TRUE,PowerCo
QSC3,188725832,E31,15894,R6_A1_TC_45C_7lap_V3,12/31/2024 4:50,73,KAL0615,SJ2-Maccor23,33,0,1368.9558,0.91999716,,,1,119,12/31/2024 4:50,12/31/2024,Y2025-W01,12/31/2024 6:06,12/14/2024 19:40,Y2024-W50,12/31/2024,Y2025-W01,54,,54,,TRUE,0,0,1,TRUE,,QSC022,QSC022AG,Y2024-W50,QSC022,Tier 1,1.0448771715164185,TRUE,PowerCo
QSC4,188816769,E31,15895,R6_A1_TC_45C_8lap_V1,1/13/2025 11:24,110,NAR0128,SJ2-Maccor23,49,0,1370.3204,0.9199992,,,1,186,1/13/2025 11:24,1/13/2025,Y2025-W03,1/13/2025 12:11,12/18/2024 14:16,Y2024-W51,1/13/2025,Y2025-W03,38,,38,,TRUE,0,0,1,TRUE,,QSC022,QSC022AH,Y2024-W51,QSC022,Tier 1,1.0240156650543213,TRUE,PowerCo
QSC5,188698586,E31,15895,R6_A1_TC_45C_8lap_V1,12/25/2024 19:21,41,NAR0107,SJ2-Maccor23,61,0,1369.134,0.9199995,,,4,65,12/26/2024 1:13,12/26/2024,Y2024-W52,12/26/2024 2:01,12/18/2024 14:17,Y2024-W51,12/26/2024,Y2024-W52,56,,56,,TRUE,0,0,1,TRUE,,QSC022,QSC022AH,Y2024-W51,QSC022,Tier 1,1.0237305164337158,TRUE,PowerCo
QSC6,188844699,E31,15895,R6_A1_TC_45C_8lap_V1,1/16/2025 13:30,128,NAR0128,SJ2-Maccor23,53,0,1367.5731,0.91999537,,,5,226,1/16/2025 21:21,1/16/2025,Y2025-W03,1/16/2025 22:12,12/18/2024 14:19,Y2024-W51,1/16/2025,Y2025-W03,145,,145,,TRUE,0,0,1,TRUE,,QSC022,QSC022AH,Y2024-W51,QSC022,Tier 1,1.0254098176956177,TRUE,PowerCo
